epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.415,1.45669,2.14911,1.161,0.5908,0.4594,0.52507,0.31412,1.30487,1.76352,1.35184,0.000330303,0.000330303,0.000330303
2,92.6339,1.31871,1.28193,1.0961,0.59229,0.57602,0.54694,0.33443,1.29883,1.72585,1.32736,0.000650496,0.000650496,0.000650496
3,138.714,1.30874,1.18317,1.08935,0.64682,0.58701,0.60214,0.37105,1.21887,1.14464,1.19855,0.00095749,0.00095749,0.00095749
4,183.092,1.28574,1.13589,1.0815,0.68116,0.5959,0.64688,0.40048,1.2404,1.04742,1.202,0.0009406,0.0009406,0.0009406
5,227.671,1.27131,1.0817,1.0711,0.67233,0.62898,0.68452,0.42242,1.2259,1.03078,1.21764,0.0009208,0.0009208,0.0009208
6,272.061,1.24486,1.01684,1.06468,0.72686,0.64664,0.71249,0.47224,1.14413,0.97387,1.15675,0.000901,0.000901,0.000901
7,316.138,1.20792,0.95255,1.04534,0.76068,0.63862,0.69872,0.46819,1.13402,0.9264,1.13899,0.0008812,0.0008812,0.0008812
8,361.548,1.22057,0.94716,1.05738,0.82577,0.66164,0.74347,0.48299,1.13998,0.88723,1.13591,0.0008614,0.0008614,0.0008614
9,406.802,1.21201,0.92034,1.05205,0.73711,0.66433,0.7352,0.4824,1.1235,0.89272,1.12619,0.0008416,0.0008416,0.0008416
10,450.586,1.19924,0.91039,1.04186,0.73062,0.6813,0.73834,0.49049,1.15969,0.90209,1.16191,0.0008218,0.0008218,0.0008218
11,494.955,1.17821,0.87059,1.0323,0.77507,0.66986,0.73928,0.48244,1.16763,0.91514,1.17405,0.000802,0.000802,0.000802
12,538.822,1.17886,0.87158,1.03818,0.76766,0.69271,0.76123,0.51189,1.14565,0.82463,1.17171,0.0007822,0.0007822,0.0007822
13,582.684,1.17436,0.84992,1.03237,0.76779,0.70894,0.77264,0.51368,1.14669,0.82299,1.20616,0.0007624,0.0007624,0.0007624
14,628.057,1.1574,0.83409,1.02772,0.80355,0.71037,0.78771,0.53822,1.11082,0.79969,1.12279,0.0007426,0.0007426,0.0007426
